SITE NAME,COUNTRY,LAT,LON,BEARING,independent_intersection_lat,d_I (current),d_II,d_III,d_IV,d_V,d_min_5pole,nearest_pole_5pole,d_min_6pole,nearest_pole_6pole
Pyramids of Cochasqui,Ecuador,0.0546,-78.306,37.0,34.542719534044785,55.457280465955215,41.457280465955215,37.65728046595522,29.55728046595521,17.757280465955212,17.757280465955212,V,7.457280465955215,VI
Caral,Peru,-10.88905,-77.5256,31.0,34.698605045275144,55.301394954724856,41.301394954724856,37.50139495472486,29.40139495472485,17.601394954724853,17.601394954724853,V,7.301394954724856,VI
Caral,Peru,-10.8903,-77.52403,31.0,34.696334660239685,55.303665339760315,41.303665339760315,37.50366533976032,29.40366533976031,17.603665339760312,17.603665339760312,V,7.303665339760315,VI
Caral,Peru,-10.89091,-77.52333,31.0,34.69529636929033,55.30470363070967,41.30470363070967,37.50470363070967,29.404703630709662,17.604703630709665,17.604703630709665,V,7.3047036307096676,VI
Caral,Peru,-10.89305,-77.5224,31.0,34.693261536336955,55.306738463663045,41.306738463663045,37.50673846366305,29.40673846366304,17.606738463663042,17.606738463663042,V,7.306738463663045,VI
Caral,Peru,-10.89292,-77.52187,31.0,34.692767054891355,55.307232945108645,41.307232945108645,37.50723294510865,29.40723294510864,17.607232945108642,17.607232945108642,V,7.307232945108645,VI
Calca,Peru,-13.4142,-71.8439,25.0,35.22926912940376,54.77073087059624,40.77073087059624,36.97073087059624,28.870730870596233,17.070730870596236,17.070730870596236,V,6.770730870596239,VI
Caral,Peru,-10.8886,-77.5256,30.5,35.36022048346246,54.63977951653754,40.63977951653754,36.83977951653754,28.73977951653753,16.939779516537534,16.939779516537534,V,6.639779516537537,VI
Caral,Peru,-10.88264,-77.53849,30.0,36.046814687601085,53.953185312398915,39.953185312398915,36.15318531239892,28.05318531239891,16.253185312398912,16.253185312398912,V,5.953185312398915,VI
Caral,Peru,-10.889,-77.52685,30.0,36.031495035250025,53.968504964749975,39.968504964749975,36.16850496474998,28.06850496474997,16.268504964749972,16.268504964749972,V,5.968504964749975,VI
Chankillo,Peru,-9.56,-78.2284,31.0,36.06622901103909,53.93377098896091,39.93377098896091,36.13377098896091,28.033770988960903,16.233770988960906,16.233770988960906,V,5.933770988960909,VI
Vichama,Peru,-11.0248,-77.6323,30.0,36.07906953381701,53.92093046618299,39.92093046618299,36.12093046618299,28.020930466182982,16.220930466182985,16.220930466182985,V,5.920930466182988,VI
Pyramids of Cochasqui,Ecuador,0.0546,-78.306,35.0,36.529662763631855,53.470337236368145,39.470337236368145,35.67033723636815,27.57033723636814,15.770337236368142,15.770337236368142,V,5.470337236368145,VI
Caral,Peru,-10.88205,-77.53885,29.5,36.72640720885132,53.27359279114868,39.27359279114868,35.47359279114868,27.373592791148674,15.573592791148677,15.573592791148677,V,5.27359279114868,VI
Caral,Peru,-10.89475,-77.5118,29.5,36.691864417594104,53.308135582405896,39.308135582405896,35.5081355824059,27.40813558240589,15.608135582405893,15.608135582405893,V,5.308135582405896,VI
Unknown Chinese Pyramid,China,34.6237,108.4989,-20.0,36.88930015560347,53.11069984439653,39.11069984439653,35.31069984439653,27.210699844396522,15.410699844396525,15.410699844396525,V,5.110699844396528,VI
Caral,Peru,-10.8888,-77.5261,29.0,37.39768541570469,52.60231458429531,38.60231458429531,34.80231458429531,26.7023145842953,14.902314584295304,14.902314584295304,V,4.602314584295307,VI
Caral,Peru,-10.89198,-77.52343,29.0,37.39341604302798,52.60658395697202,38.60658395697202,34.80658395697202,26.70658395697201,14.906583956972014,14.906583956972014,V,4.606583956972017,VI
Caral,Peru,-10.8946,-77.5225,29.0,37.39124602681911,52.60875397318089,38.60875397318089,34.80875397318089,26.708753973180883,14.908753973180886,14.908753973180886,V,4.608753973180889,VI
Chincha Paracas Platform Mounds,Peru,-13.5024,-76.045,27.0,37.477962482704974,52.522037517295026,38.522037517295026,34.72203751729503,26.62203751729502,14.822037517295023,14.822037517295023,V,4.522037517295026,VI
Pyramids of Cochasqui,Ecuador,0.0546,-78.306,34.0,37.55865812033947,52.44134187966053,38.44134187966053,34.64134187966053,26.54134187966052,14.741341879660524,14.741341879660524,V,4.441341879660527,VI
Caral,Peru,-10.88362,-77.53823,28.5,38.109760460085916,51.890239539914084,37.890239539914084,34.09023953991409,25.99023953991408,14.190239539914081,14.190239539914081,V,3.8902395399140843,VI
Caral,Peru,-10.8895,-77.5248,28.5,38.092911017829195,51.907088982170805,37.907088982170805,34.10708898217081,26.0070889821708,14.207088982170802,14.207088982170802,V,3.907088982170805,VI
Shingardar Stupa,Pakistan,34.6929,72.2496,-43.0,38.573803500912625,51.426196499087375,37.426196499087375,33.62619649908738,25.52619649908737,13.726196499087372,13.726196499087372,V,3.426196499087375,VI
Caral,Peru,-10.89415,-77.52395,28.0,38.79601468785134,51.20398531214866,37.20398531214866,33.40398531214866,25.303985312148654,13.503985312148657,13.503985312148657,V,3.20398531214866,VI
