SITE NAME,COUNTRY,LAT,LON,BEARING,block
Unknown on Elephantine Island,Egypt,24.0857,32.8862,-27.0,Middle East
Babylon,Iraq,32.5433,44.4229,-27.0,Middle East
Ecbatana,Iran,34.8055,48.5164,-28.0,Middle East
Chichen Itza,Mexico,20.681,-88.57,20.0,Americas
Calca,Peru,-13.4142,-71.8439,10.0,Americas
Tabasqueno,Mexico,19.5003,-89.7836,20.0,Americas
Chacmultun,Mexico,20.1728,-89.3455,20.0,Americas
Chincha Paracas Platform Mounds,Peru,-13.5024,-76.045,11.5,Americas
Karanis,Turkey,29.5177,30.9033,-28.0,Middle East
Nineveh Temple (Sumer),Iraq,36.359,43.153,-29.0,Middle East
Temple of Belur,India,13.1629,75.8604,-20.0,South Asia
Hosn Hiha Temple ,Lebanon,33.9074,35.9489,-29.0,Middle East
La Quemada ,Mexico,22.4592,-102.8233,24.0,Americas
Toniná,Mexico,16.9015,-92.0098,20.0,Americas
Xlapak,Mexico,20.1742,-89.6062,20.0,Americas
Çatıören,Turkey,36.5214,34.1258,-30.0,Middle East
Çatıören,Turkey,36.5214,34.1258,-30.0,Middle East
Palenque,Mexico,17.4841,-92.0462,20.0,Americas
Pomac Forest,Peru,-6.4728,-79.7943,13.0,Americas
Patara,Turkey,36.2674,29.3178,-30.0,Europe-Med
Yagul,Mexico,16.958,-96.45,21.0,Americas
Mixco Viejo,Mexico,14.8744,-90.6632,19.0,Americas
San Gervasio,Mexico,20.5,-86.8453,19.0,Americas
Herculaneum,Italy,40.806,14.3482,-32.0,Europe-Med
Samarra Archaeological City,Iraq,34.3411,43.8236,-28.0,Middle East
Zabala (Sumer),Iraq,31.7445,45.8747,-27.0,Middle East
Girsu,Iraq,31.5623,46.1809,-27.0,Middle East
Ceibal,Guatemala,16.5136,-90.0613,19.0,Americas
Pella,Jordan,32.4496,35.6156,-28.0,Middle East
Ajlun Castle,Jordan,32.3252,35.7273,-28.0,Middle East
Freiria,Portugal,38.7207,-9.3228,-25.0,Europe-Med
Pisões,Portugal,37.9976,-7.9496,-25.0,Europe-Med
Pnyx,Greece,37.9718,23.7197,-30.0,Europe-Med
Temples of Bagan (small cluster),Myanmar,21.179,94.8924,-14.0,South Asia
